These are the feature importances generated by XGBoost for each product


Feature importance for ind_cco_fin_ult1 

"Feature" "Gain" "Cover" "Frequence"
"31" "nomprov.MADRID" 0.00231856114892842 0.00664773776009261 0.0128908392759188
"32" "segmento.01 - TOP" 0.00188318008239036 0.00815996211671574 0.00767964893033461
"33" "ind_dela_fin_ult1_2month_ago" 0.00179300599982604 0.000712600778723196 0.00191991223258365
"34" "month.May" 0.00165966188112631 0.0108043727022931 0.00850246845858475
"35" "ind_dela_fin_ult1_1month_ago" 0.00138265637341829 0.00360246845139477 0.00301700493691717
"36" "activity.index.change" 0.00126688153854438 0.00703320406128648 0.00507405375754251
"37" "ind_empleado.A" 0.00113725507057255 0.000275333034525495 0.00315414152495886
"38" "segmento.03 - UNIVERSITARIO" 0.00109112046219344 0.00302382144799463 0.00452550740537575
"39" "ind_nuevo" 0.00106902203044966 0.00151075494370415 0.00356555128908393
"40" "ind_nomina_ult1_purchase.count" 0.000971795298174302 0.0032076836479402 0.00699396599012617
"41" "ind_nomina_ult1_1month_ago" 0.000902282347831217 0.00407936174826247 0.00534832693362589
"42" "ind_cno_fin_ult1_1month_ago" 0.000897028058389841 0.000486710822086956 0.0078167855183763
"43" "num.purchases.3.months.ago" 0.000836075533472248 0.000959282111364968 0.00905101481075151
"44" "tiprel_1mes.I" 0.000824229877635921 0.00238879220312892 0.00534832693362589
"45" "ind_ctop_fin_ult1_1month_ago" 0.000807766855733587 0.00784145467576167 0.00246845858475041
"46" "ind_ecue_fin_ult1_1month_ago" 0.000689797736844459 0.00023779103728717 0.00246845858475041
"47" "ind_ctju_fin_ult1_1month_ago" 0.000644840430007371 0.00334009323827428 0.00123422929237521
"48" "ind_nomina_ult1_3month_ago" 0.000594529883422013 0.000228350059839143 0.0026055951727921
"49" "num.purchases.2.months.ago" 0.000581982762466812 0.000472397185557915 0.00836533187054306
"50" "ind_deco_fin_ult1_purchase.count" 0.000576569176760634 0.0035863532995597 0.00205704882062534
"51" "ind_nom_pens_ult1_3month_ago" 0.000566052238561949 0.000404457589064262 0.00301700493691717
"52" "ind_tjcr_fin_ult1_3month_ago" 0.000563751943978666 0.00135781506617646 0.00329127811300055
"53" "ind_dela_fin_ult1_purchase.count" 0.000555060154306823 0.00138182836809123 0.00315414152495886
"54" "ind_tjcr_fin_ult1_4month_ago" 0.000537966279261776 0.00223686992069927 0.00315414152495886
"55" "sexo.H" 0.000536611178378621 0.000677990938845995 0.00863960504662644
"56" "segmento.02 - PARTICULARES" 0.000463813226533029 0.00110368328668384 0.00617114646187603
"57" "ind_cno_fin_ult1_10month_ago" 0.000436109378129667 0.000200295232535 0.003976961053209
"58" "ind_ctma_fin_ult1_6month_ago" 0.000405222964284276 0.00023396683413586 0.00164563905650027
"59" "ind_cno_fin_ult1_8month_ago" 0.00038308235253938 8.13924403275114e-05 0.00342841470104224
"60" "ind_dela_fin_ult1_4month_ago" 0.000370396742045879 0.00153024293433715 0.00123422929237521
"61" "ind_cco_fin_ult1_5month_ago" 0.000363893885657091 0.000749679240316467 0.003976961053209
"62" "tiprel_1mes.A" 0.00035617463720722 0.0014105373904992 0.00301700493691717
"63" "ind_recibo_ult1_2month_ago" 0.000352075842928294 0.000624189055727058 0.00342841470104224
"64" "ind_ecue_fin_ult1_purchase.count" 0.000331105467782032 0.00101358088085914 0.00329127811300055
"65" "ind_dela_fin_ult1_3month_ago" 0.000326890378448044 0.000253498627508832 0.00150850246845858
"66" "ind_recibo_ult1_4month_ago" 0.000321341763543125 0.000111111423999395 0.00301700493691717
